id,text,pattern_type,source,brand_or_site,language,notes,Word_Count,Char_Count,Question_Mark,Exclamation_Mark,Negation_Count,Sentiment,Subordinator_Count,Complexity_Index
169,Offer expires in 00:04:59,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,6,25,0,0,0,-0.16666666666666666,0,6
170,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,34,0,0,0,-0.2,0,5
171,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,4,20,0,1,0,-0.25,0,5
172,Last chance before price increases,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,34,0,0,0,-0.2,0,5
173,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,13,0,1,0,0.0,0,3
174,High demand! Act now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,4,20,0,1,0,-0.25,0,5
175,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,0,0.0,0,7
176,15 people are viewing this right now,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,0,0.0,0,7
177,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,13,0,1,0,0.0,0,3
178,Limited time offer,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,18,0,0,0,0.0,0,3
179,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,13,0,1,0,0.0,0,3
180,Selling fast!,fake_urgency,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,13,0,1,0,0.0,0,3
181,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,34,0,0,1,-0.14285714285714285,0,9
182,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,11,54,0,0,2,-0.09090909090909091,1,17
183,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,33,0,0,1,-0.125,1,12
184,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,11,54,0,0,2,-0.09090909090909091,1,17
185,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,1,-0.14285714285714285,1,11
186,Continue without declining protection,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,4,37,0,0,2,0.25,1,10
187,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,33,0,0,1,-0.125,1,12
188,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,9,34,0,0,1,-0.1111111111111111,0,11
189,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,9,34,0,0,1,-0.1111111111111111,0,11
190,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,9,34,0,0,1,-0.1111111111111111,0,11
191,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,34,0,0,1,-0.14285714285714285,0,9
192,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,49,0,0,1,-0.125,1,12
193,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,1,-0.14285714285714285,1,11
194,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,49,0,0,1,-0.125,1,12
195,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,40,0,0,1,-0.14285714285714285,0,9
196,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,34,0,0,1,-0.14285714285714285,0,9
197,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,9,34,0,0,1,-0.1111111111111111,0,11
198,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,33,0,0,1,-0.125,1,12
199,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,34,0,0,1,-0.14285714285714285,0,9
200,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,33,0,0,1,-0.125,1,12
201,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,11,54,0,0,2,-0.09090909090909091,1,17
202,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,11,54,0,0,2,-0.09090909090909091,1,17
203,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,33,0,0,1,-0.125,1,12
204,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,9,34,0,0,1,-0.1111111111111111,0,11
205,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,49,0,0,1,-0.125,1,12
206,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,1,-0.14285714285714285,1,11
207,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,34,0,0,1,-0.14285714285714285,0,9
208,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,34,0,0,1,-0.14285714285714285,0,9
209,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,9,34,0,0,1,-0.1111111111111111,0,11
210,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,1,-0.14285714285714285,1,11
211,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,11,54,0,0,2,-0.09090909090909091,1,17
212,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,49,0,0,1,-0.125,1,12
213,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,1,-0.14285714285714285,1,11
214,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,11,54,0,0,2,-0.09090909090909091,1,17
215,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,1,-0.14285714285714285,1,11
216,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,40,0,0,1,-0.14285714285714285,0,9
217,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,34,0,0,1,-0.14285714285714285,0,9
218,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,40,0,0,1,-0.14285714285714285,0,9
219,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,1,-0.14285714285714285,1,11
220,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,34,0,0,1,-0.14285714285714285,0,9
221,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,49,0,0,1,-0.125,1,12
222,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,9,34,0,0,1,-0.1111111111111111,0,11
223,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,40,0,0,1,-0.14285714285714285,0,9
224,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,9,34,0,0,1,-0.1111111111111111,0,11
225,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,11,54,0,0,2,-0.09090909090909091,1,17
226,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,11,54,0,0,2,-0.09090909090909091,1,17
227,Continue without declining protection,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,4,37,0,0,2,0.25,1,10
228,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,11,54,0,0,2,-0.09090909090909091,1,17
229,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,11,54,0,0,2,-0.09090909090909091,1,17
230,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,34,0,0,1,-0.14285714285714285,0,9
231,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,49,0,0,1,-0.125,1,12
232,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,11,54,0,0,2,-0.09090909090909091,1,17
233,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,33,0,0,1,-0.125,1,12
234,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,49,0,0,1,-0.125,1,12
235,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,33,0,0,1,-0.125,1,12
236,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,33,0,0,1,-0.125,1,12
237,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,9,34,0,0,1,-0.1111111111111111,0,11
238,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,1,-0.14285714285714285,1,11
239,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,33,0,0,1,-0.125,1,12
240,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,9,34,0,0,1,-0.1111111111111111,0,11
241,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,11,54,0,0,2,-0.09090909090909091,1,17
242,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,33,0,0,1,-0.125,1,12
243,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,1,-0.14285714285714285,1,11
244,Continue without declining protection,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,4,37,0,0,2,0.25,1,10
245,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,40,0,0,1,-0.14285714285714285,0,9
246,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,9,34,0,0,1,-0.1111111111111111,0,11
247,Continue without declining protection,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,4,37,0,0,2,0.25,1,10
248,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,9,34,0,0,1,-0.1111111111111111,0,11
249,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,40,0,0,1,-0.14285714285714285,0,9
250,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,36,0,0,1,-0.14285714285714285,1,11
251,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,49,0,0,1,-0.125,1,12
252,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,40,0,0,1,-0.14285714285714285,0,9
253,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,34,0,0,1,-0.14285714285714285,0,9
254,Continue without declining protection,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,4,37,0,0,2,0.25,1,10
255,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,33,0,0,1,-0.125,1,12
256,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,11,54,0,0,2,-0.09090909090909091,1,17
257,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,34,0,0,1,-0.14285714285714285,0,9
258,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,33,0,0,1,-0.125,1,12
259,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,33,0,0,1,-0.125,1,12
260,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,9,34,0,0,1,-0.1111111111111111,0,11
261,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,40,0,0,1,-0.14285714285714285,0,9
262,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,49,0,0,1,-0.125,1,12
263,Continue without declining protection,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,4,37,0,0,2,0.25,1,10
264,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,33,0,0,1,-0.125,1,12
265,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,9,34,0,0,1,-0.1111111111111111,0,11
266,Continue without declining protection,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,4,37,0,0,2,0.25,1,10
267,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,40,0,0,1,-0.14285714285714285,0,9
268,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,8,49,0,0,1,-0.125,1,12
269,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,34,0,0,1,-0.14285714285714285,0,9
270,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,7,40,0,0,1,-0.14285714285714285,0,9
271,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,15,0,0,0,0.5,0,2
272,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,30,0,0,1,-0.2,0,7
273,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,17,0,0,0,0.0,0,3
274,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,14,0,0,0,0.5,0,2
275,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,30,0,0,1,-0.2,0,7
276,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,17,0,0,0,0.0,0,3
277,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,17,0,0,0,0.0,0,3
278,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,14,0,0,0,0.5,0,2
279,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,30,0,0,1,-0.2,0,7
280,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,30,0,0,1,-0.2,0,7
281,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,24,0,0,0,0.3333333333333333,0,3
282,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,21,0,0,0,0.6666666666666666,0,3
283,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,24,0,0,0,0.3333333333333333,0,3
284,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,30,0,0,1,-0.2,0,7
285,"No, downgrade my experience",visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,4,27,0,0,1,-0.5,0,6
286,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,30,0,0,1,-0.2,0,7
287,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,15,0,0,0,0.5,0,2
288,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,17,0,0,0,0.0,0,3
289,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,15,0,0,0,0.0,0,3
290,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,30,0,0,1,-0.2,0,7
291,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,15,0,0,0,0.5,0,2
292,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,15,0,0,0,0.5,0,2
293,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,21,0,0,0,0.6666666666666666,0,3
294,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,14,0,0,0,0.5,0,2
295,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,30,0,0,1,-0.2,0,7
296,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,14,0,0,0,0.5,0,2
297,"No, downgrade my experience",visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,4,27,0,0,1,-0.5,0,6
298,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,15,0,0,0,0.0,0,3
299,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,15,0,0,0,0.5,0,2
300,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,17,0,0,0,0.0,0,3
301,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,17,0,0,0,0.0,0,3
302,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,14,0,0,0,0.5,0,2
303,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,15,0,0,0,0.5,0,2
304,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,21,0,0,0,0.6666666666666666,0,3
305,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,14,0,0,0,0.5,0,2
306,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,15,0,0,0,0.0,0,3
307,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,14,0,0,0,0.5,0,2
308,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,15,0,0,0,0.5,0,2
309,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,30,0,0,1,-0.2,0,7
310,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,21,0,0,0,0.6666666666666666,0,3
311,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,15,0,0,0,0.5,0,2
312,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,21,0,0,0,0.6666666666666666,0,3
313,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,24,0,0,0,0.3333333333333333,0,3
314,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,24,0,0,0,0.3333333333333333,0,3
315,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,17,0,0,0,0.0,0,3
316,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,21,0,0,0,0.6666666666666666,0,3
317,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,15,0,0,0,0.0,0,3
318,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,14,0,0,0,0.5,0,2
319,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,24,0,0,0,0.3333333333333333,0,3
320,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,14,0,0,0,0.5,0,2
321,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,14,0,0,0,0.5,0,2
322,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,15,0,0,0,0.0,0,3
323,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,15,0,0,0,0.5,0,2
324,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,14,0,0,0,0.5,0,2
325,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,21,0,0,0,0.6666666666666666,0,3
326,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,15,0,0,0,0.0,0,3
327,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,24,0,0,0,0.3333333333333333,0,3
328,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,30,0,0,1,-0.2,0,7
329,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,14,0,0,0,0.5,0,2
330,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,17,0,0,0,0.0,0,3
331,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,15,0,0,0,0.0,0,3
332,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,2,15,0,0,0,0.5,0,2
333,"No, downgrade my experience",visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,4,27,0,0,1,-0.5,0,6
334,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,24,0,0,0,0.3333333333333333,0,3
335,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,24,0,0,0,0.3333333333333333,0,3
336,"No, downgrade my experience",visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,4,27,0,0,1,-0.5,0,6
337,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,21,0,0,0,0.6666666666666666,0,3
338,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,5,30,0,0,1,-0.2,0,7
339,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,24,0,0,0,0.3333333333333333,0,3
340,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis,3,24,0,0,0,0.3333333333333333,0,3
