id,text,pattern_type,source,brand_or_site,language,notes
228,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
229,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
230,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
231,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
232,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
233,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
234,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
235,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
236,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
237,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
238,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
239,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
240,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
241,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
242,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
243,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
244,Continue without declining protection,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
245,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
246,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
247,Continue without declining protection,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
248,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
249,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
250,Do not unselect if you want coverage,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
251,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
252,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
253,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
254,Continue without declining protection,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
255,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
256,Uncheck this box if you do not want to receive updates,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
257,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
258,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
259,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
260,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
261,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
262,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
263,Continue without declining protection,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
264,Click here if you don't not agree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
265,I do not want to opt out of emails,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
266,Continue without declining protection,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
267,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
268,Proceed unless you wish to cancel your enrollment,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
269,Tick to confirm you don't disagree,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
270,Check here to avoid not being subscribed,trick_question,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
271,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
272,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
273,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
274,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
275,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
276,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
277,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
278,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
279,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
280,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
281,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
282,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
283,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
284,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
285,"No, downgrade my experience",visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
286,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
287,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
288,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
289,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
290,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
291,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
292,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
293,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
294,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
295,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
296,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
297,"No, downgrade my experience",visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
298,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
299,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
300,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
301,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
302,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
303,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
304,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
305,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
306,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
307,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
308,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
309,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
310,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
311,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
312,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
313,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
314,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
315,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
316,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
317,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
318,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
319,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
320,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
321,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
322,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
323,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
324,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
325,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
326,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
327,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
328,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
329,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
330,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
331,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
332,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
333,"No, downgrade my experience",visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
334,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
335,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
336,"No, downgrade my experience",visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
337,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
338,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
339,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
340,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
341,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
342,Basic Plan (Recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
343,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
344,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
345,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
346,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
347,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
348,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
349,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
350,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
351,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
352,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
353,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
354,Free Shipping*,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
355,Skip for now (not recommended),visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
356,Stay Subscribed,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
357,End my membership,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
358,Remind me later,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
359,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
360,Continue with Premium,visual_interference,Compiled research dataset (documented dark pattern styles),Various,English,Microcopy categorized for linguistic analysis
